payment_id,order_id,transaction_reference,payment_method,payment_status,amount,currency,installments,provider,authorized_at,paid_at,refunded_amount,failure_code,failure_reason,created_at,updated_at
24,24,SIM-d3b33bf231a647998af1c06fd2de0706-23,CREDIT_CARD,APPROVED,1415.42,BRL,6,synthetic_gateway,2026-09-03T10:02:12.549744Z,2026-09-03T10:03:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
25,25,SIM-d3b33bf231a647998af1c06fd2de0706-24,CREDIT_CARD,APPROVED,1285.89,BRL,3,synthetic_gateway,2026-09-05T15:01:12.549744Z,2026-09-05T15:02:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
26,26,SIM-d3b33bf231a647998af1c06fd2de0706-25,PIX,APPROVED,1933.06,BRL,1,synthetic_gateway,2026-09-04T15:45:12.549744Z,2026-09-04T15:46:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
27,27,SIM-d3b33bf231a647998af1c06fd2de0706-26,PIX,APPROVED,37.65,BRL,1,synthetic_gateway,2026-09-05T22:54:12.549744Z,2026-09-05T22:55:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
28,28,SIM-d3b33bf231a647998af1c06fd2de0706-27,PIX,APPROVED,1283.28,BRL,1,synthetic_gateway,2026-09-06T01:42:12.549744Z,2026-09-06T01:43:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
29,29,SIM-d3b33bf231a647998af1c06fd2de0706-28,CREDIT_CARD,DECLINED,481.37,BRL,6,synthetic_gateway,,,0.00,PAYMENT_DECLINED,Pagamento não autorizado na simulação,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
30,30,SIM-d3b33bf231a647998af1c06fd2de0706-29,CREDIT_CARD,APPROVED,1489.77,BRL,1,synthetic_gateway,2026-09-05T08:24:12.549744Z,2026-09-05T08:25:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
31,31,SIM-d3b33bf231a647998af1c06fd2de0706-30,CREDIT_CARD,APPROVED,2290.85,BRL,1,synthetic_gateway,2026-09-04T02:50:12.549744Z,2026-09-04T02:51:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
32,32,SIM-d3b33bf231a647998af1c06fd2de0706-31,BOLETO,APPROVED,1763.87,BRL,1,synthetic_gateway,2026-09-03T03:34:12.549744Z,2026-09-03T03:35:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
33,33,SIM-d3b33bf231a647998af1c06fd2de0706-32,PIX,APPROVED,1974.17,BRL,1,synthetic_gateway,2026-09-04T16:19:12.549744Z,2026-09-04T16:20:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
34,34,SIM-d3b33bf231a647998af1c06fd2de0706-33,CREDIT_CARD,APPROVED,1135.95,BRL,3,synthetic_gateway,2026-09-05T13:12:12.549744Z,2026-09-05T13:13:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
35,35,SIM-d3b33bf231a647998af1c06fd2de0706-34,CREDIT_CARD,APPROVED,348.31,BRL,3,synthetic_gateway,2026-09-04T10:33:12.549744Z,2026-09-04T10:34:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
36,36,SIM-d3b33bf231a647998af1c06fd2de0706-35,PIX,APPROVED,1114.09,BRL,1,synthetic_gateway,2026-09-04T22:16:12.549744Z,2026-09-04T22:17:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
37,37,SIM-d3b33bf231a647998af1c06fd2de0706-36,CREDIT_CARD,APPROVED,2080.25,BRL,6,synthetic_gateway,2026-09-02T19:22:12.549744Z,2026-09-02T19:23:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
38,38,SIM-d3b33bf231a647998af1c06fd2de0706-37,PIX,APPROVED,240.68,BRL,1,synthetic_gateway,2026-09-03T14:28:12.549744Z,2026-09-03T14:29:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
39,39,SIM-d3b33bf231a647998af1c06fd2de0706-38,PIX,APPROVED,1007.16,BRL,1,synthetic_gateway,2026-09-04T11:26:12.549744Z,2026-09-04T11:27:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
40,40,SIM-d3b33bf231a647998af1c06fd2de0706-39,CREDIT_CARD,APPROVED,1116.91,BRL,2,synthetic_gateway,2026-09-04T23:22:12.549744Z,2026-09-04T23:23:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
41,41,SIM-d3b33bf231a647998af1c06fd2de0706-40,BOLETO,APPROVED,1508.47,BRL,1,synthetic_gateway,2026-09-06T11:52:12.549744Z,2026-09-06T11:53:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
42,42,SIM-d3b33bf231a647998af1c06fd2de0706-41,CREDIT_CARD,APPROVED,2027.27,BRL,3,synthetic_gateway,2026-09-03T02:12:12.549744Z,2026-09-03T02:13:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
43,43,SIM-b393c64e8e954bf989eaa20e79a29a80-0,PIX,APPROVED,2298.61,BRL,1,synthetic_gateway,2026-09-04T18:14:54.029480Z,2026-09-04T18:15:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
44,44,SIM-b393c64e8e954bf989eaa20e79a29a80-1,PIX,APPROVED,1347.01,BRL,1,synthetic_gateway,2026-09-04T07:44:54.029480Z,2026-09-04T07:45:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
45,45,SIM-b393c64e8e954bf989eaa20e79a29a80-2,PIX,APPROVED,368.35,BRL,1,synthetic_gateway,2026-09-05T22:26:54.029480Z,2026-09-05T22:27:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
46,46,SIM-b393c64e8e954bf989eaa20e79a29a80-3,PIX,APPROVED,1807.95,BRL,1,synthetic_gateway,2026-09-02T16:38:54.029480Z,2026-09-02T16:39:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
47,47,SIM-b393c64e8e954bf989eaa20e79a29a80-4,CREDIT_CARD,APPROVED,1412.45,BRL,6,synthetic_gateway,2026-09-05T07:28:54.029480Z,2026-09-05T07:29:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
48,48,SIM-b393c64e8e954bf989eaa20e79a29a80-5,PIX,APPROVED,1239.61,BRL,1,synthetic_gateway,2026-09-02T18:00:54.029480Z,2026-09-02T18:01:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
49,49,SIM-b393c64e8e954bf989eaa20e79a29a80-6,CREDIT_CARD,APPROVED,736.55,BRL,2,synthetic_gateway,2026-09-03T10:28:54.029480Z,2026-09-03T10:29:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
50,50,SIM-b393c64e8e954bf989eaa20e79a29a80-7,PIX,APPROVED,1588.81,BRL,1,synthetic_gateway,2026-09-05T21:13:54.029480Z,2026-09-05T21:14:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
51,51,SIM-b393c64e8e954bf989eaa20e79a29a80-8,PIX,APPROVED,1186.92,BRL,1,synthetic_gateway,2026-09-02T23:40:54.029480Z,2026-09-02T23:41:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
52,52,SIM-b393c64e8e954bf989eaa20e79a29a80-9,CREDIT_CARD,APPROVED,2043.73,BRL,3,synthetic_gateway,2026-09-03T03:05:54.029480Z,2026-09-03T03:06:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
53,53,SIM-b393c64e8e954bf989eaa20e79a29a80-10,CREDIT_CARD,APPROVED,1736.72,BRL,1,synthetic_gateway,2026-09-06T06:54:54.029480Z,2026-09-06T06:55:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
54,54,SIM-b393c64e8e954bf989eaa20e79a29a80-11,PIX,APPROVED,61.24,BRL,1,synthetic_gateway,2026-09-03T20:10:54.029480Z,2026-09-03T20:11:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
55,55,SIM-b393c64e8e954bf989eaa20e79a29a80-12,CREDIT_CARD,APPROVED,513.56,BRL,2,synthetic_gateway,2026-09-05T21:27:54.029480Z,2026-09-05T21:28:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
56,56,SIM-b393c64e8e954bf989eaa20e79a29a80-13,CREDIT_CARD,APPROVED,764.68,BRL,2,synthetic_gateway,2026-09-05T23:08:54.029480Z,2026-09-05T23:09:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
57,57,SIM-b393c64e8e954bf989eaa20e79a29a80-14,CREDIT_CARD,APPROVED,1645.15,BRL,1,synthetic_gateway,2026-09-03T14:12:54.029480Z,2026-09-03T14:13:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
58,58,SIM-b393c64e8e954bf989eaa20e79a29a80-15,PIX,APPROVED,1695.32,BRL,1,synthetic_gateway,2026-09-05T03:59:54.029480Z,2026-09-05T04:00:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
59,59,SIM-b393c64e8e954bf989eaa20e79a29a80-16,PIX,APPROVED,1981.16,BRL,1,synthetic_gateway,2026-09-03T10:45:54.029480Z,2026-09-03T10:46:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
60,60,SIM-b393c64e8e954bf989eaa20e79a29a80-17,PIX,APPROVED,1154.55,BRL,1,synthetic_gateway,2026-09-03T19:52:54.029480Z,2026-09-03T19:53:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
61,61,SIM-b393c64e8e954bf989eaa20e79a29a80-18,CREDIT_CARD,APPROVED,2212.14,BRL,3,synthetic_gateway,2026-09-02T14:23:54.029480Z,2026-09-02T14:24:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
62,62,SIM-b393c64e8e954bf989eaa20e79a29a80-19,PIX,APPROVED,1317.08,BRL,1,synthetic_gateway,2026-09-06T10:53:54.029480Z,2026-09-06T10:54:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
63,63,SIM-b393c64e8e954bf989eaa20e79a29a80-20,CREDIT_CARD,APPROVED,710.79,BRL,1,synthetic_gateway,2026-09-05T12:33:54.029480Z,2026-09-05T12:34:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
64,64,SIM-b393c64e8e954bf989eaa20e79a29a80-21,CREDIT_CARD,DECLINED,677.65,BRL,2,synthetic_gateway,,,0.00,PAYMENT_DECLINED,Pagamento não autorizado na simulação,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
65,65,SIM-b393c64e8e954bf989eaa20e79a29a80-22,PIX,APPROVED,1472.70,BRL,1,synthetic_gateway,2026-09-06T07:32:54.029480Z,2026-09-06T07:33:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
66,66,SIM-b393c64e8e954bf989eaa20e79a29a80-23,CREDIT_CARD,APPROVED,1823.15,BRL,3,synthetic_gateway,2026-09-04T19:49:54.029480Z,2026-09-04T19:50:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
67,67,SIM-b393c64e8e954bf989eaa20e79a29a80-24,PIX,APPROVED,1548.31,BRL,1,synthetic_gateway,2026-09-06T10:24:54.029480Z,2026-09-06T10:25:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
68,68,SIM-b393c64e8e954bf989eaa20e79a29a80-25,CREDIT_CARD,APPROVED,68.14,BRL,2,synthetic_gateway,2026-09-05T19:35:54.029480Z,2026-09-05T19:36:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
69,69,SIM-b393c64e8e954bf989eaa20e79a29a80-26,CREDIT_CARD,APPROVED,2207.93,BRL,6,synthetic_gateway,2026-09-06T05:49:54.029480Z,2026-09-06T05:50:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
70,70,SIM-b393c64e8e954bf989eaa20e79a29a80-27,PIX,APPROVED,1668.24,BRL,1,synthetic_gateway,2026-09-05T00:12:54.029480Z,2026-09-05T00:13:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
71,71,SIM-b393c64e8e954bf989eaa20e79a29a80-28,CREDIT_CARD,APPROVED,2364.49,BRL,2,synthetic_gateway,2026-09-02T20:27:54.029480Z,2026-09-02T20:28:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
72,72,SIM-b393c64e8e954bf989eaa20e79a29a80-29,PIX,APPROVED,609.36,BRL,1,synthetic_gateway,2026-09-04T13:45:54.029480Z,2026-09-04T13:46:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
73,73,SIM-b393c64e8e954bf989eaa20e79a29a80-30,PIX,APPROVED,886.48,BRL,1,synthetic_gateway,2026-09-04T07:31:54.029480Z,2026-09-04T07:32:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
74,74,SIM-b393c64e8e954bf989eaa20e79a29a80-31,PIX,APPROVED,983.01,BRL,1,synthetic_gateway,2026-09-05T16:28:54.029480Z,2026-09-05T16:29:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
75,75,SIM-b393c64e8e954bf989eaa20e79a29a80-32,CREDIT_CARD,APPROVED,148.08,BRL,3,synthetic_gateway,2026-09-04T03:53:54.029480Z,2026-09-04T03:54:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
76,76,SIM-b393c64e8e954bf989eaa20e79a29a80-33,CREDIT_CARD,APPROVED,1308.54,BRL,2,synthetic_gateway,2026-09-05T05:47:54.029480Z,2026-09-05T05:48:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
77,77,SIM-b393c64e8e954bf989eaa20e79a29a80-34,CREDIT_CARD,APPROVED,1565.06,BRL,1,synthetic_gateway,2026-09-02T14:20:54.029480Z,2026-09-02T14:21:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
78,78,SIM-b393c64e8e954bf989eaa20e79a29a80-35,CREDIT_CARD,APPROVED,2115.72,BRL,6,synthetic_gateway,2026-09-05T06:38:54.029480Z,2026-09-05T06:39:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
79,79,SIM-b393c64e8e954bf989eaa20e79a29a80-36,CREDIT_CARD,APPROVED,1868.78,BRL,2,synthetic_gateway,2026-09-06T04:31:54.029480Z,2026-09-06T04:32:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
80,80,SIM-b393c64e8e954bf989eaa20e79a29a80-37,PIX,APPROVED,888.36,BRL,1,synthetic_gateway,2026-09-06T01:07:54.029480Z,2026-09-06T01:08:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
81,81,SIM-b393c64e8e954bf989eaa20e79a29a80-38,BOLETO,APPROVED,1162.98,BRL,1,synthetic_gateway,2026-09-03T05:24:54.029480Z,2026-09-03T05:25:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
82,82,SIM-b393c64e8e954bf989eaa20e79a29a80-39,PIX,APPROVED,2034.87,BRL,1,synthetic_gateway,2026-09-05T16:03:54.029480Z,2026-09-05T16:04:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
83,83,SIM-b393c64e8e954bf989eaa20e79a29a80-40,CREDIT_CARD,APPROVED,456.12,BRL,3,synthetic_gateway,2026-09-05T19:13:54.029480Z,2026-09-05T19:14:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
84,84,SIM-b393c64e8e954bf989eaa20e79a29a80-41,PIX,APPROVED,1130.93,BRL,1,synthetic_gateway,2026-09-03T18:10:54.029480Z,2026-09-03T18:11:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
85,85,SIM-b393c64e8e954bf989eaa20e79a29a80-42,PIX,APPROVED,823.43,BRL,1,synthetic_gateway,2026-09-05T19:15:54.029480Z,2026-09-05T19:16:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
86,86,SIM-b393c64e8e954bf989eaa20e79a29a80-43,CREDIT_CARD,APPROVED,400.55,BRL,6,synthetic_gateway,2026-09-03T13:19:54.029480Z,2026-09-03T13:20:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
87,87,SIM-b393c64e8e954bf989eaa20e79a29a80-44,CREDIT_CARD,APPROVED,1206.72,BRL,1,synthetic_gateway,2026-09-05T03:05:54.029480Z,2026-09-05T03:06:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
88,88,SIM-b393c64e8e954bf989eaa20e79a29a80-45,CREDIT_CARD,APPROVED,329.00,BRL,6,synthetic_gateway,2026-09-04T08:05:54.029480Z,2026-09-04T08:06:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
89,89,SIM-b393c64e8e954bf989eaa20e79a29a80-46,PIX,APPROVED,1094.76,BRL,1,synthetic_gateway,2026-09-05T11:27:54.029480Z,2026-09-05T11:28:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
90,90,SIM-b393c64e8e954bf989eaa20e79a29a80-47,PIX,APPROVED,1101.61,BRL,1,synthetic_gateway,2026-09-04T20:32:54.029480Z,2026-09-04T20:33:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
91,91,SIM-b393c64e8e954bf989eaa20e79a29a80-48,PIX,APPROVED,1353.25,BRL,1,synthetic_gateway,2026-09-04T02:23:54.029480Z,2026-09-04T02:24:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
92,92,SIM-b393c64e8e954bf989eaa20e79a29a80-49,CREDIT_CARD,APPROVED,954.54,BRL,2,synthetic_gateway,2026-09-04T01:01:54.029480Z,2026-09-04T01:02:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
93,93,SIM-b393c64e8e954bf989eaa20e79a29a80-50,PIX,APPROVED,2259.16,BRL,1,synthetic_gateway,2026-09-02T14:35:54.029480Z,2026-09-02T14:36:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
94,94,SIM-b393c64e8e954bf989eaa20e79a29a80-51,PIX,APPROVED,2010.77,BRL,1,synthetic_gateway,2026-09-04T08:59:54.029480Z,2026-09-04T09:00:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
95,95,SIM-b393c64e8e954bf989eaa20e79a29a80-52,PIX,APPROVED,2459.05,BRL,1,synthetic_gateway,2026-09-04T22:49:54.029480Z,2026-09-04T22:50:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
96,96,SIM-b393c64e8e954bf989eaa20e79a29a80-53,CREDIT_CARD,APPROVED,1568.68,BRL,3,synthetic_gateway,2026-09-03T16:00:54.029480Z,2026-09-03T16:01:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
97,97,SIM-b393c64e8e954bf989eaa20e79a29a80-54,CREDIT_CARD,APPROVED,1051.59,BRL,1,synthetic_gateway,2026-09-04T02:46:54.029480Z,2026-09-04T02:47:54.029480Z,0.00,,,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
