tracking_id,order_id,shipment_id,tracking_code,carrier,service_level,status,event_description,city,state,country_code,estimated_delivery_at,occurred_at,created_at,updated_at
23,24,24,SIM000000000024,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T22:02:12.549744Z,2026-09-03T22:02:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
24,25,25,SIM000000000025,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T03:01:12.549744Z,2026-09-06T03:01:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
25,26,26,SIM000000000026,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T03:45:12.549744Z,2026-09-05T03:45:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
26,27,27,SIM000000000027,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T10:54:12.549744Z,2026-09-06T10:54:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
27,28,28,SIM000000000028,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T13:42:12.549744Z,2026-09-06T13:42:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
28,30,30,SIM000000000030,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T20:24:12.549744Z,2026-09-05T20:24:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
29,31,31,SIM000000000031,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T14:50:12.549744Z,2026-09-04T14:50:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
30,32,32,SIM000000000032,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T15:34:12.549744Z,2026-09-03T15:34:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
31,33,33,SIM000000000033,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-10T04:19:12.549744Z,2026-09-05T04:19:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
32,34,34,SIM000000000034,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T01:12:12.549744Z,2026-09-06T01:12:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
33,35,35,SIM000000000035,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T22:33:12.549744Z,2026-09-04T22:33:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
34,36,36,SIM000000000036,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T10:16:12.549744Z,2026-09-05T10:16:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
35,37,37,SIM000000000037,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T07:22:12.549744Z,2026-09-03T07:22:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
36,38,38,SIM000000000038,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T02:28:12.549744Z,2026-09-04T02:28:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
37,39,39,SIM000000000039,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T23:26:12.549744Z,2026-09-04T23:26:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
38,40,40,SIM000000000040,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T11:22:12.549744Z,2026-09-05T11:22:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
39,41,41,SIM000000000041,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T23:52:12.549744Z,2026-09-06T23:52:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
40,42,42,SIM000000000042,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-08T14:12:12.549744Z,2026-09-03T14:12:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
41,43,43,SIM000000000043,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T06:14:54.029480Z,2026-09-05T06:14:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
42,44,44,SIM000000000044,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T19:44:54.029480Z,2026-09-04T19:44:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
43,45,45,SIM000000000045,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T10:26:54.029480Z,2026-09-06T10:26:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
44,46,46,SIM000000000046,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T04:38:54.029480Z,2026-09-03T04:38:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
45,47,47,SIM000000000047,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T19:28:54.029480Z,2026-09-05T19:28:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
46,48,48,SIM000000000048,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T06:00:54.029480Z,2026-09-03T06:00:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
47,49,49,SIM000000000049,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T22:28:54.029480Z,2026-09-03T22:28:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
48,50,50,SIM000000000050,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T09:13:54.029480Z,2026-09-06T09:13:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
49,51,51,SIM000000000051,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T11:40:54.029480Z,2026-09-03T11:40:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
50,52,52,SIM000000000052,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T15:05:54.029480Z,2026-09-03T15:05:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
51,53,53,SIM000000000053,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T18:54:54.029480Z,2026-09-06T18:54:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
52,54,54,SIM000000000054,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T08:10:54.029480Z,2026-09-04T08:10:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
53,55,55,SIM000000000055,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T09:27:54.029480Z,2026-09-06T09:27:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
54,56,56,SIM000000000056,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T11:08:54.029480Z,2026-09-06T11:08:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
55,57,57,SIM000000000057,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T02:12:54.029480Z,2026-09-04T02:12:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
56,58,58,SIM000000000058,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-10T15:59:54.029480Z,2026-09-05T15:59:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
57,59,59,SIM000000000059,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T22:45:54.029480Z,2026-09-03T22:45:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
58,60,60,SIM000000000060,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T07:52:54.029480Z,2026-09-04T07:52:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
59,61,61,SIM000000000061,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-08T02:23:54.029480Z,2026-09-03T02:23:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
60,62,62,SIM000000000062,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T22:53:54.029480Z,2026-09-06T22:53:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
61,63,63,SIM000000000063,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T00:33:54.029480Z,2026-09-06T00:33:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
62,65,65,SIM000000000065,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T19:32:54.029480Z,2026-09-06T19:32:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
63,66,66,SIM000000000066,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T07:49:54.029480Z,2026-09-05T07:49:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
64,67,67,SIM000000000067,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T22:24:54.029480Z,2026-09-06T22:24:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
65,68,68,SIM000000000068,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T07:35:54.029480Z,2026-09-06T07:35:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
66,69,69,SIM000000000069,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T17:49:54.029480Z,2026-09-06T17:49:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
67,70,70,SIM000000000070,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T12:12:54.029480Z,2026-09-05T12:12:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
68,71,71,SIM000000000071,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-08T08:27:54.029480Z,2026-09-03T08:27:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
69,72,72,SIM000000000072,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T01:45:54.029480Z,2026-09-05T01:45:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
70,73,73,SIM000000000073,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T19:31:54.029480Z,2026-09-04T19:31:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
71,74,74,SIM000000000074,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T04:28:54.029480Z,2026-09-06T04:28:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
72,75,75,SIM000000000075,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T15:53:54.029480Z,2026-09-04T15:53:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
73,76,76,SIM000000000076,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T17:47:54.029480Z,2026-09-05T17:47:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
74,77,77,SIM000000000077,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T02:20:54.029480Z,2026-09-03T02:20:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
75,78,78,SIM000000000078,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T18:38:54.029480Z,2026-09-05T18:38:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
76,79,79,SIM000000000079,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T16:31:54.029480Z,2026-09-06T16:31:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
77,80,80,SIM000000000080,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T13:07:54.029480Z,2026-09-06T13:07:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
78,81,81,SIM000000000081,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T17:24:54.029480Z,2026-09-03T17:24:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
79,82,82,SIM000000000082,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T04:03:54.029480Z,2026-09-06T04:03:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
80,83,83,SIM000000000083,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-11T07:13:54.029480Z,2026-09-06T07:13:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
81,84,84,SIM000000000084,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T06:10:54.029480Z,2026-09-04T06:10:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
82,85,85,SIM000000000085,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T07:15:54.029480Z,2026-09-06T07:15:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
83,86,86,SIM000000000086,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T01:19:54.029480Z,2026-09-04T01:19:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
84,87,87,SIM000000000087,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-10T15:05:54.029480Z,2026-09-05T15:05:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
85,88,88,SIM000000000088,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T20:05:54.029480Z,2026-09-04T20:05:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
86,89,89,SIM000000000089,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T23:27:54.029480Z,2026-09-05T23:27:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
87,90,90,SIM000000000090,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T08:32:54.029480Z,2026-09-05T08:32:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
88,91,91,SIM000000000091,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T14:23:54.029480Z,2026-09-04T14:23:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
89,92,92,SIM000000000092,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T13:01:54.029480Z,2026-09-04T13:01:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
90,93,93,SIM000000000093,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T02:35:54.029480Z,2026-09-03T02:35:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
91,94,94,SIM000000000094,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T20:59:54.029480Z,2026-09-04T20:59:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
92,95,95,SIM000000000095,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T10:49:54.029480Z,2026-09-05T10:49:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
93,96,96,SIM000000000096,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T04:00:54.029480Z,2026-09-04T04:00:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
94,97,97,SIM000000000097,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T14:46:54.029480Z,2026-09-04T14:46:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
95,98,98,SIM000000000098,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-12T02:02:54.029480Z,2026-09-07T02:02:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
96,99,99,SIM000000000099,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T20:59:54.029480Z,2026-09-05T20:59:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
97,100,100,SIM000000000100,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T08:28:54.029480Z,2026-09-04T08:28:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
98,101,101,SIM000000000101,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T06:22:54.029480Z,2026-09-04T06:22:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
99,102,102,SIM000000000102,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-08T13:41:54.029480Z,2026-09-03T13:41:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
100,103,103,SIM000000000103,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T16:03:54.029480Z,2026-09-06T16:03:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
101,105,105,SIM000000000105,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-10T06:48:54.029480Z,2026-09-05T06:48:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
102,106,106,SIM000000000106,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-08T11:33:54.029480Z,2026-09-03T11:33:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
103,107,107,SIM000000000107,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T02:01:54.029480Z,2026-09-05T02:01:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
104,108,108,SIM000000000108,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T15:08:54.029480Z,2026-09-05T15:08:54.029480Z,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
